2025-02-08 11:25:16.405729 | User 1068652933 | Выбрал город Екатеринбург
2025-02-08 11:25:17.954979 | User 1068652933 | Выбрал офис Кандинский
2025-02-08 11:26:17.059509 | User 1068652933 | Выбрал город Екатеринбург
2025-02-08 11:26:18.659168 | User 1068652933 | Выбрал офис Кандинский
2025-02-08 11:30:00.340754 | User 1068652933 | Выбрал переговорную 2 этаж в Кандинский
2025-02-08 11:50:06 | User 1068652933 | Вошел в бота (/start)
2025-02-08 11:50:23 | User 1068652933 | Вошел в бота (/start)
2025-02-08 11:55:01 | User 1068652933 | Вошел в бота (/start)
2025-02-08 11:56:16 | User 1068652933 | Вошел в бота (/start)
2025-02-08 12:01:37 | User 1068652933 | Вошел в бота (/start)
2025-02-08 12:04:35 | User 1068652933 | Вошел в бота (/start)
2025-02-08 12:07:20 | User 1068652933 | Вошел в бота (/start)
2025-02-08 12:08:32 | User 1068652933 | Вошел в бота (/start)
2025-02-08 12:08:36 | User 1068652933 | Вошел в бота (/start)
2025-02-08 12:08:41 | User 1068652933 | Вошел в бота (/start)
2025-02-08 12:08:46 | User 1068652933 | Вошел в бота (/start)
2025-02-08 12:08:56 | User 1068652933 | Вошел в бота (/start)
2025-02-08 12:09:02 | User 1068652933 | Вошел в бота (/start)
2025-02-08 12:10:31 | User 1068652933 | Вошел в бота (/start)
2025-02-08 12:10:42 | User 1068652933 | Вошел в бота (/start)
2025-02-08 12:10:49 | User 1068652933 | Вошел в бота (/start)
2025-02-08 12:12:20 | User 1068652933 | Вошел в бота (/start)
2025-02-08 12:12:30 | User 1068652933 | Вошел в бота (/start)
2025-02-08 12:14:46 | User 1068652933 | Вошел в бота (/start)
2025-02-08 12:14:48 | User 1068652933 | Выбрал город: Екатеринбург
2025-02-08 12:14:49 | User 1068652933 | Выбрал офис: Кандинский (Город: Екатеринбург)
2025-02-08 12:14:51 | User 1068652933 | Выбрал этаж: 2 этаж (Офис: Кандинский, Город: Екатеринбург)
2025-02-08 12:14:52 | User 1068652933 | Разблокировал переговорную: Городская баня (Офис: Кандинский, Город: Екатеринбург, Этаж: 2 этаж)
2025-02-08 12:15:19 | User 1068652933 | Вошел в бота (/start)
2025-02-08 12:15:20 | User 1068652933 | Выбрал город: Екатеринбург
2025-02-08 12:15:21 | User 1068652933 | Выбрал офис: Добровин (Город: Екатеринбург)
2025-02-08 12:15:22 | User 1068652933 | Разблокировал переговорную: 1108 (Офис: Добровин, Город: Екатеринбург, Этаж: )
2025-02-08 12:18:10 | User 1068652933 | Вошел в бота (/start)
2025-02-08 12:18:12 | User 1068652933 | Выбрал город: Екатеринбург
2025-02-08 12:18:13 | User 1068652933 | Выбрал офис: Кандинский (Город: Екатеринбург)
2025-02-08 12:18:14 | User 1068652933 | Выбрал этаж: 2 этаж (Офис: Кандинский, Город: Екатеринбург)
2025-02-08 12:18:16 | User 1068652933 | Разблокировал переговорную: Городская баня (Офис: Кандинский, Город: Екатеринбург, Этаж: 2 этаж)
2025-02-08 12:18:21 | User 1068652933 | Разблокировал переговорную: Контора пароходства (Офис: Кандинский, Город: Екатеринбург, Этаж: 2 этаж)
2025-02-08 12:18:23 | User 1068652933 | Разблокировал переговорную: Муравейник (Офис: Кандинский, Город: Екатеринбург, Этаж: 2 этаж)
2025-02-08 12:18:24 | User 1068652933 | Вошел в бота (/start)
2025-02-08 12:18:25 | User 1068652933 | Выбрал город: Москва
2025-02-08 12:18:27 | User 1068652933 | Вошел в бота (/start)
2025-02-08 12:18:28 | User 1068652933 | Выбрал город: Екатеринбург
2025-02-08 12:18:29 | User 1068652933 | Выбрал офис: Кандинский (Город: Екатеринбург)
2025-02-08 12:18:30 | User 1068652933 | Выбрал этаж: 3 этаж (Офис: Кандинский, Город: Екатеринбург)
2025-02-08 12:18:32 | User 1068652933 | Разблокировал переговорную: Гуси (Офис: Кандинский, Город: Екатеринбург, Этаж: 3 этаж)
2025-02-08 12:18:33 | User 1068652933 | Разблокировал переговорную: Стоквартирный дом (Офис: Кандинский, Город: Екатеринбург, Этаж: 3 этаж)
2025-02-08 12:18:34 | User 1068652933 | Разблокировал переговорную: Красный Проспект (Офис: Кандинский, Город: Екатеринбург, Этаж: 3 этаж)
2025-02-08 12:18:36 | User 1068652933 | Разблокировал переговорную: Ельцовка (Офис: Кандинский, Город: Екатеринбург, Этаж: 3 этаж)
2025-02-08 12:19:12 | User 1068652933 | Вошел в бота (/start)
2025-02-08 12:19:14 | User 1068652933 | Выбрал город: Екатеринбург
2025-02-08 12:19:17 | User 1068652933 | Выбрал офис: Кандинский (Город: Екатеринбург)
2025-02-08 12:19:24 | User 1068652933 | Выбрал этаж: 3 этаж (Офис: Кандинский, Город: Екатеринбург)
2025-02-08 12:19:28 | User 1068652933 | Вошел в бота (/start)
2025-02-08 12:19:29 | User 1068652933 | Выбрал город: Екатеринбург
2025-02-08 12:19:30 | User 1068652933 | Выбрал офис: Кандинский (Город: Екатеринбург)
2025-02-08 12:19:31 | User 1068652933 | Выбрал этаж: 4 этаж (Офис: Кандинский, Город: Екатеринбург)
2025-02-08 12:19:33 | User 1068652933 | Вошел в бота (/start)
2025-02-08 12:19:34 | User 1068652933 | Выбрал город: Екатеринбург
2025-02-08 12:19:36 | User 1068652933 | Выбрал офис: Кандинский (Город: Екатеринбург)
2025-02-08 12:19:37 | User 1068652933 | Выбрал этаж: 5 этаж (Офис: Кандинский, Город: Екатеринбург)
2025-02-08 12:19:38 | User 1068652933 | Вошел в бота (/start)
2025-02-08 12:23:35 | User 1068652933 | Вошел в бота (/start)
2025-02-08 12:23:43 | User 1068652933 | Вошел в бота (/start)
2025-02-08 12:23:51 | User 1068652933 | Вошел в бота (/start)
2025-02-08 12:23:52 | User 1068652933 | Выбрал город: Екатеринбург
2025-02-08 12:23:54 | User 1068652933 | Выбрал офис: Кандинский (Город: Екатеринбург)
2025-02-08 12:23:57 | User 1068652933 | Выбрал этаж: 2 этаж (Офис: Кандинский, Город: Екатеринбург)
2025-02-08 12:23:58 | User 1068652933 | Разблокировал переговорную: Городская баня (Офис: Кандинский, Город: Екатеринбург, Этаж: 2 этаж)
2025-02-08 12:25:39 | User 106155108 | Вошел в бота (/start)
2025-02-08 12:25:41 | User 106155108 | Выбрал город: Екатеринбург
2025-02-08 12:25:45 | User 106155108 | Выбрал офис: Добровин (Город: Екатеринбург)
2025-02-08 12:26:07 | User 1068652933 | Вошел в бота (/start)
2025-02-08 12:26:08 | User 1068652933 | Выбрал город: Екатеринбург
2025-02-08 12:26:09 | User 1068652933 | Выбрал офис: Добровин (Город: Екатеринбург)
2025-02-08 12:26:10 | User 1068652933 | Разблокировал переговорную: 1108 (Офис: Добровин, Город: Екатеринбург, Этаж: )
2025-02-08 12:26:15 | User 1068652933 | Разблокировал переговорную: 1108 (Офис: Добровин, Город: Екатеринбург, Этаж: )
2025-02-08 12:26:27 | User 822300387 | Вошел в бота (/start)
2025-02-08 12:26:34 | User 822300387 | Вошел в бота (/start)
2025-02-08 12:26:36 | User 580883764 | Вошел в бота (/start)
2025-02-08 12:26:36 | User 822300387 | Выбрал город: Екатеринбург
2025-02-08 12:26:39 | User 822300387 | Выбрал офис: Кандинский (Город: Екатеринбург)
2025-02-08 12:26:41 | User 580883764 | Выбрал город: Екатеринбург
2025-02-08 12:26:42 | User 822300387 | Выбрал этаж: 5 этаж (Офис: Кандинский, Город: Екатеринбург)
2025-02-08 12:26:44 | User 580883764 | Выбрал офис: Добровин (Город: Екатеринбург)
2025-02-08 12:26:47 | User 822300387 | Разблокировал переговорную: Сургут (Офис: Кандинский, Город: Екатеринбург, Этаж: 5 этаж)
2025-02-08 12:28:20 | User 580883764 | Разблокировал переговорную: 1106 (Офис: Добровин, Город: Екатеринбург, Этаж: )
2025-02-08 12:28:25 | User 1785746878 | Вошел в бота (/start)
